,participantID,trialNum,stage,stageName,trueCondition,requestedTests,likelihoodChange,uniqueTests,pastTests,currentTests,possibleTest,proportionOfInfo,testNames,numOfDifferentials,confidence,correctDiagnosis,perceivedDifficulty,highestSeverity,hasHighSeverity,highestLikelihood,likelihoods,severities,sevOfHighestLikelihood,competingDifferentials,hasCompetingDifferentials,treatmentPlan,infoSeekingTime,remoteDifferentials,nonRemoteDifferentials,correct,brierConfidence,differentialAccuracy,correctDiagnosisIdx,likelihoodOfCorrectDiagnosis,sevOfCorrectDiagnosis,highestLikelihoodCorrect,highestLikelihoodCorrectValue
12,17wpsm,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,12,0,10,0,10,10,1,"FBC, Clotting Test, CRP and ESR, Venous Blood Gas, UREA and Electrolytes, Urine Dipstick, Other Biochemistry Tests, Chest X-Ray, Abdominal CT Scan, ECG",2,1,FALSE,10,2,FALSE,3,"3, 3","2, 2",2,0,FALSE,Not Provided,4.0031,0,2,1,0.9801,0.5,1,3,3,1,3
13,17wpsm,5,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Allergies, Family History, Social History",3,2,TRUE,7,3,TRUE,5,"4, 5, 2","2, 2, 3",2,1,FALSE,Not Provided,1.427533333,0,3,1,0.9604,0.333333333,1,2,4,0,0
14,17wpsm,5,2,Physical Exmination,AORTIC DISSECTION,10,0,7,0,7,13,0.538461538,"Auscultate Lungs, Auscultate the Heart, Abdomen Examination, Assess Extremities, Assess Eyes, Take Pulse, Measure Blood Pressure",4,3,TRUE,7,3,TRUE,4,"2, 3, 2, 4","2, 2, 3, 1",1,0,FALSE,Not Provided,3.378133333,0,4,1,0.9409,0.25,1,2,4,1,4
15,17wpsm,5,3,Testing,AORTIC DISSECTION,4,0,4,0,4,10,0.4,"Chest X-Ray, ECG, FBC, Venous Blood Gas",4,33,TRUE,7,3,TRUE,5,"2, 3, 2, 5","2, 2, 3, 1",1,1,FALSE,"Refer to cardiology
Echocardiogram",2.018166667,0,4,1,0.4489,0.25,1,2,4,1,5
16,17wpsm,6,1,Patient History,TEMPORAL ARTERITIS,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Social History, Allergies, Family History, Medication",2,0,FALSE,7,2,FALSE,3,"3, 3","1, 2",1,0,FALSE,Not Provided,1.006366667,0,2,1,1,0.5,1,3,2,1,3
17,17wpsm,6,2,Physical Exmination,TEMPORAL ARTERITIS,10,0,9,0,9,13,0.692307692,"Assess Extremities, Neck/Throat Examination, Auscultate the Heart, Take Pulse, Neurologic Exam Record, Abdomen Examination, Measure Blood Pressure, Auscultate Lungs, Measure Temperature",1,9,FALSE,7,2,FALSE,6,6,2,2,1,FALSE,Not Provided,1.106383333,0,1,0,0.0081,-1,0,0,0,0,0
18,17wpsm,6,3,Testing,TEMPORAL ARTERITIS,5,0,4,0,4,10,0.4,"CRP and ESR, Other Biochemistry Tests, Venous Blood Gas, FBC",1,19,FALSE,7,2,FALSE,7,7,2,2,1,FALSE,"Give fluids and antibiotics
Take blood culture
Consult infectious diseases",1.31175,0,1,0,0.0361,-1,0,0,0,0,0
19,1p7vnf,1,1,Patient History,GUILLAINBARRE SYNDROME,7,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Family History, Social History, Allergies",2,18,FALSE,2,3,TRUE,6,"3, 6","3, 2",2,1,FALSE,Not Provided,2.44135,0,2,1,0.6724,0.5,1,6,3,1,6
20,1p7vnf,1,2,Physical Exmination,GUILLAINBARRE SYNDROME,11,0,11,0,11,13,0.846153846,"Neurologic Exam Record, Measure Temperature, Rectal Examination, Measure Blood Pressure, Take Pulse, Neck/Throat Examination, Assess Respiratory Rate, Auscultate Lungs, Assess Head, Assess Extremities, Assess Eyes",3,54,FALSE,2,3,TRUE,7,"2, 7, 3","3, 2, 1",2,1,FALSE,Not Provided,4.653666667,0,3,1,0.2116,0.333333333,1,7,3,1,7
21,1p7vnf,1,3,Testing,GUILLAINBARRE SYNDROME,4,0,4,0,4,10,0.4,"FBC, Other Biochemistry Tests, Chest X-Ray, CRP and ESR",3,68,FALSE,2,3,TRUE,8,"2, 8, 3","3, 2, 1",2,1,FALSE,Not Provided,1.406083333,0,3,1,0.1024,0.333333333,1,8,3,1,8
22,1p7vnf,2,1,Patient History,AORTIC DISSECTION,0,0,0,0,0,6,0,,2,14,FALSE,8,2,FALSE,4,"3, 4","2, 1",1,0,FALSE,Not Provided,0.073333333,0,2,0,0.0196,-0.5,0,0,0,0,0
23,1p7vnf,2,2,Physical Exmination,AORTIC DISSECTION,17,0,15,6,9,13,0.692307692,"Present Illness History, Medication, Past Medical History, Family History, Allergies, Social History, Measure Blood Pressure, Take Pulse, Auscultate the Heart, Assess Respiratory Rate, Auscultate Lungs, Measure Temperature, Abdomen Examination, Assess Extremities, Rectal Examination",8,29,TRUE,8,3,TRUE,4,"2, 2, 3, 3, 4, 3, 3, 3","2, 1, 1, 2, 2, 3, 1, 3",2,0,FALSE,Not Provided,16.94826667,0,8,1,0.5041,0.125,1,3,4,0,0
24,1p7vnf,2,3,Testing,AORTIC DISSECTION,18,0,12,2,10,10,1,"Venous Blood Gas, FBC, Urine Dipstick, Other Biochemistry Tests, ECG, Abdominal CT Scan, CRP and ESR, Chest X-Ray, Neck/Throat Examination, Assess Eyes, Clotting Test, UREA and Electrolytes",10,30,TRUE,8,3,TRUE,6,"1, 1, 3, 2, 4, 2, 1, 3, 2, 6","2, 1, 1, 2, 2, 3, 1, 3, 1, 0",0,1,FALSE,Not Provided,16.40515,3,7,1,0.49,0.1,1,2,4,0,0
25,1p7vnf,3,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Social History, Family History, Allergies",5,30,FALSE,8,3,TRUE,4,"4, 3, 2, 2, 2","0, 2, 0, 3, 2",0,0,FALSE,Not Provided,3.2744,0,5,1,0.49,0.2,1,4,1,1,4
26,1p7vnf,3,2,Physical Exmination,ULCERATIVE COLITIS,11,0,10,0,10,13,0.769230769,"Abdomen Examination, Auscultate the Heart, Measure Temperature, Rectal Examination, Measure Blood Pressure, Take Pulse, Assess Eyes, Neck/Throat Examination, Assess Extremities, Auscultate Lungs",3,55,FALSE,8,2,FALSE,5,"5, 3, 2","0, 2, 0",0,1,FALSE,Not Provided,1.787816667,0,3,1,0.2025,0.333333333,1,5,1,1,5
27,1p7vnf,3,3,Testing,ULCERATIVE COLITIS,14,0,12,4,8,10,0.8,"Abdominal CT Scan, CRP and ESR, Venous Blood Gas, UREA and Electrolytes, ECG, FBC, Chest X-Ray, Other Biochemistry Tests, Past Medical History, Medication, Present Illness History, Abdomen Examination",4,57,FALSE,8,2,FALSE,5,"5, 2, 3, 3","1, 2, 0, 1",1,1,FALSE,Not Provided,13.97835,0,4,1,0.1849,0.25,1,5,2,1,5
28,1p7vnf,4,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Present Illness History, Social History, Past Medical History, Family History, Allergies, Medication",3,77,FALSE,8,3,TRUE,8,"8, 1, 1","3, 3, 3",3,1,FALSE,Not Provided,1.062133333,2,1,0,0.5929,-0.333333333,0,0,0,0,0
29,1p7vnf,4,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,9,0,9,0,9,13,0.692307692,"Measure Temperature, Neurologic Exam Record, Assess Head, Assess Eyes, Take Pulse, Neck/Throat Examination, Assess Extremities, Auscultate the Heart, Abdomen Examination",3,57,FALSE,8,3,TRUE,8,"8, 1, 1","3, 3, 3",3,1,FALSE,Not Provided,1.45645,2,1,0,0.3249,-0.333333333,0,0,0,0,0
30,1p7vnf,4,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,8,0,5,1,4,10,0.4,"Neurologic Exam Record, FBC, Other Biochemistry Tests, Venous Blood Gas, UREA and Electrolytes",2,70,FALSE,8,3,TRUE,8,"3, 8","3, 3",3,1,FALSE,"Test ADAMTS13 levels to diagnose TTP. CT head to rule out intracranial bleed. MRI head to check for limbic encephalitis. Lumbar puncture to exclude meningoencephalitis. 
Cover for meningoencephalitis with IV antiviral and antibiotics until ruled out. Give IV steroids to treat TTP. Plasma exchange if not improving.",2.398,0,2,1,0.09,0.5,1,8,4,1,8
31,1p7vnf,5,1,Patient History,MILIARY TB,6,0,6,0,6,6,1,"Present Illness History, Past Medical History, Medication, Allergies, Social History, Family History",1,59,FALSE,6,2,FALSE,8,8,2,2,1,FALSE,Not Provided,1.441116667,0,1,0,0.3481,-1,0,0,0,0,0
32,1p7vnf,5,2,Physical Exmination,MILIARY TB,9,0,9,0,9,13,0.692307692,"Abdomen Examination, Rectal Examination, Measure Temperature, Neck/Throat Examination, Assess Extremities, Assess Eyes, Neurologic Exam Record, Auscultate Lungs, Auscultate the Heart",2,72,FALSE,6,3,TRUE,6,"6, 5","2, 3",2,2,FALSE,Not Provided,1.161,0,2,0,0.5184,-0.5,0,0,0,0,0
33,1p7vnf,5,3,Testing,MILIARY TB,5,0,4,0,4,10,0.4,"FBC, Chest X-Ray, Abdominal CT Scan, Other Biochemistry Tests",2,78,FALSE,6,3,TRUE,6,"6, 5","2, 3",2,2,FALSE,"Marrow biopsy to diagnose AML. Blood film to look for blasts.
Neutrophil function tests.

Broad spectrum IV antibiotics for ?empyema/sepsis.

Refer to haematology.",1.956733333,0,2,0,0.6084,-0.5,0,0,0,0,0
34,1p7vnf,6,1,Patient History,TEMPORAL ARTERITIS,8,0,6,0,6,6,1,"Present Illness History, Past Medical History, Family History, Medication, Social History, Allergies",5,31,FALSE,6,2,FALSE,4,"4, 4, 1, 1, 1","1, 0, 0, 2, 1",1,0,FALSE,Not Provided,2.851833333,3,2,1,0.4761,0.2,1,4,2,1,4
35,1p7vnf,6,2,Physical Exmination,TEMPORAL ARTERITIS,9,0,8,1,7,13,0.538461538,"Assess Extremities, Present Illness History, Neck/Throat Examination, Auscultate Lungs, Neurologic Exam Record, Measure Blood Pressure, Abdomen Examination, Measure Temperature",5,39,FALSE,6,2,FALSE,5,"4, 5, 1, 2, 1","1, 0, 0, 2, 1",0,1,FALSE,Not Provided,1.35865,2,3,1,0.3721,0.2,1,4,2,0,0
36,1p7vnf,6,3,Testing,TEMPORAL ARTERITIS,5,0,5,0,5,10,0.5,"FBC, Chest X-Ray, Other Biochemistry Tests, CRP and ESR, UREA and Electrolytes",5,41,FALSE,6,2,FALSE,4,"4, 4, 2, 3, 1","1, 0, 0, 2, 1",1,0,FALSE,Not Provided,1.178183333,1,4,1,0.3481,0.2,1,4,2,1,4
37,21njc9,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,7,0,6,0,6,6,1,"Allergies, Social History, Medication, Present Illness History, Past Medical History, Family History",6,28,FALSE,6,3,TRUE,9,"9, 9, 4, 3, 3, 3","3, 3, 3, 3, 3, 3",3,2,FALSE,Not Provided,1.263983333,0,6,1,0.5184,0.166666667,1,9,4,1,9
38,21njc9,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,14,0,12,0,12,13,0.923076923,"Assess Eyes, Neurologic Exam Record, Auscultate the Heart, Take Pulse, Measure Blood Pressure, Measure Temperature, Auscultate Lungs, Assess Respiratory Rate, Neck/Throat Examination, Assess Head, Assess Extremities, Abdomen Examination",6,42,FALSE,6,3,TRUE,9,"9, 9, 4, 3, 6, 3","3, 3, 3, 3, 3, 3",3,3,TRUE,Not Provided,3.083616667,0,6,1,0.3364,0.166666667,1,9,4,1,9
39,21njc9,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,9,0,9,2,7,10,0.7,"ECG, FBC, Clotting Test, Venous Blood Gas, Past Medical History, Present Illness History, UREA and Electrolytes, Urine Dipstick, Other Biochemistry Tests",8,64,FALSE,6,3,TRUE,9,"6, 6, 4, 3, 6, 3, 9, 7","3, 3, 3, 3, 3, 3, 3, 2",3,5,TRUE,Not Provided,10.06498333,0,8,1,0.1296,0.125,1,6,4,0,0
40,21njc9,2,1,Patient History,TEMPORAL ARTERITIS,6,0,6,0,6,6,1,"Present Illness History, Medication, Past Medical History, Allergies, Family History, Social History",4,38,FALSE,4,3,TRUE,9,"9, 3, 2, 6","3, 1, 0, 1",3,2,FALSE,Not Provided,1.623966667,0,4,1,0.3844,0.25,1,3,2,1,9
41,21njc9,2,2,Physical Exmination,TEMPORAL ARTERITIS,13,0,13,0,13,13,1,"Neurologic Exam Record, Assess Extremities, Measure Blood Pressure, Assess Head, Assess Respiratory Rate, Neck/Throat Examination, Take Pulse, Rectal Examination, Auscultate the Heart, Measure Temperature, Abdomen Examination, Assess Eyes, Auscultate Lungs",5,68,TRUE,4,3,TRUE,9,"7, 9, 2, 6, 9","3, 1, 0, 1, 3",1,4,TRUE,Not Provided,2.505066667,0,5,1,0.1024,0.2,1,9,2,1,9
42,21njc9,2,3,Testing,TEMPORAL ARTERITIS,2,0,2,0,2,10,0.2,"CRP and ESR, FBC",5,98,TRUE,4,3,TRUE,10,"4, 10, 2, 6, 10","3, 1, 0, 1, 3",1,3,TRUE,"Refer to Rheumatology
High Dose Steroid Treatment (start immediately - 60mg I think - reducing dose progressively)",0.881916667,0,5,1,0.0004,0.2,1,10,2,1,10
43,21njc9,3,1,Patient History,MILIARY TB,7,0,6,0,6,6,1,"Present Illness History, Medication, Past Medical History, Social History, Family History, Allergies",3,21,FALSE,8,2,FALSE,8,"8, 6, 1","2, 1, 2",2,2,FALSE,Not Provided,2.855983333,1,2,0,0.0441,-0.333333333,0,0,0,0,0
44,21njc9,3,2,Physical Exmination,MILIARY TB,13,0,13,0,13,13,1,"Measure Blood Pressure, Assess Respiratory Rate, Assess Eyes, Auscultate Lungs, Abdomen Examination, Assess Head, Rectal Examination, Take Pulse, Auscultate the Heart, Assess Extremities, Neurologic Exam Record, Neck/Throat Examination, Measure Temperature",3,40,FALSE,8,2,FALSE,8,"8, 6, 1","2, 1, 2",2,2,FALSE,Not Provided,2.28485,1,2,0,0.16,-0.333333333,0,0,0,0,0
45,21njc9,3,3,Testing,MILIARY TB,5,0,5,0,5,10,0.5,"FBC, Venous Blood Gas, Chest X-Ray, ECG, Clotting Test",3,56,FALSE,8,2,FALSE,9,"9, 1, 1","2, 1, 2",2,1,FALSE,"Refer to Haematology
",3.0015,2,1,0,0.3136,-0.333333333,0,0,0,0,0
46,21njc9,4,1,Patient History,ULCERATIVE COLITIS,6,0,6,0,6,6,1,"Allergies, Medication, Past Medical History, Present Illness History, Social History, Family History",2,61,FALSE,3,2,FALSE,9,"9, 6","1, 2",1,2,FALSE,Not Provided,2.648783333,0,2,1,0.1521,0.5,1,9,2,1,9
47,21njc9,4,2,Physical Exmination,ULCERATIVE COLITIS,10,0,10,0,10,13,0.769230769,"Abdomen Examination, Measure Temperature, Measure Blood Pressure, Assess Extremities, Rectal Examination, Neck/Throat Examination, Assess Eyes, Assess Respiratory Rate, Assess Head, Take Pulse",2,66,FALSE,3,2,FALSE,9,"9, 6","1, 2",1,2,FALSE,Not Provided,1.389216667,0,2,1,0.1156,0.5,1,9,2,1,9
48,21njc9,4,3,Testing,ULCERATIVE COLITIS,3,0,3,0,3,10,0.3,"FBC, UREA and Electrolytes, ECG",2,88,FALSE,3,2,FALSE,10,"10, 4","1, 2",1,1,FALSE,"Start pt on antibiotics
Advice from gastro 
diet change",1.183616667,0,2,1,0.0144,0.5,1,10,2,1,10
49,21njc9,5,1,Patient History,GUILLAINBARRE SYNDROME,7,0,6,0,6,6,1,"Family History, Past Medical History, Allergies, Present Illness History, Social History, Medication",3,35,FALSE,10,3,TRUE,8,"8, 3, 3","3, 2, 2",3,1,FALSE,Not Provided,1.729316667,0,3,0,0.1225,-0.333333333,0,0,0,0,0
50,21njc9,5,2,Physical Exmination,GUILLAINBARRE SYNDROME,11,0,11,0,11,13,0.846153846,"Measure Temperature, Auscultate the Heart, Measure Blood Pressure, Neurologic Exam Record, Neck/Throat Examination, Assess Eyes, Take Pulse, Auscultate Lungs, Assess Head, Rectal Examination, Assess Extremities",6,58,FALSE,10,3,TRUE,8,"5, 3, 3, 8, 6, 2","3, 2, 2, 2, 2, 2",2,3,TRUE,Not Provided,1.985333333,0,6,1,0.1764,0.166666667,1,8,3,1,8
51,21njc9,5,3,Testing,GUILLAINBARRE SYNDROME,6,0,6,0,6,10,0.6,"CRP and ESR, Abdominal CT Scan, Chest X-Ray, FBC, ECG, UREA and Electrolytes",6,21,FALSE,10,3,TRUE,8,"5, 3, 3, 8, 6, 2","3, 2, 2, 2, 2, 2",2,3,TRUE,"CT Scan (Brain for Space Occupying Lesion / Stroke)
MRI - Head / Spine
Advice from Neuro on Gillan Barre Syndrome?
Lumbar Puncture ",1.904533333,0,6,1,0.6241,0.166666667,1,8,3,1,8
52,21njc9,6,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Past Medical History, Allergies, Social History, Family History, Medication, Present Illness History",5,55,FALSE,10,3,TRUE,9,"9, 2, 3, 5, 3","1, 2, 2, 3, 1",1,2,FALSE,Not Provided,2.93825,0,5,0,0.3025,-0.2,0,0,0,0,0
53,21njc9,6,2,Physical Exmination,AORTIC DISSECTION,10,0,10,0,10,13,0.769230769,"Assess Respiratory Rate, Auscultate Lungs, Measure Blood Pressure, Auscultate the Heart, Measure Temperature, Neck/Throat Examination, Assess Head, Assess Extremities, Take Pulse, Neurologic Exam Record",6,54,TRUE,10,3,TRUE,9,"9, 2, 3, 5, 3, 7","1, 2, 2, 3, 1, 3",1,3,TRUE,Not Provided,1.534133333,0,6,1,0.2116,0.166666667,1,7,4,0,0
54,21njc9,6,3,Testing,AORTIC DISSECTION,7,0,6,0,6,10,0.6,"Abdominal CT Scan, Chest X-Ray, Other Biochemistry Tests, UREA and Electrolytes, FBC, ECG",6,14,TRUE,10,3,TRUE,10,"10, 7, 9, 3, 3, 2","1, 2, 2, 3, 1, 3",1,3,TRUE,"Test for TB
Refer to cardiology (Heart failure opinion, increase dose of furosemide for symptom relief, control of BP)
CT Chest - Lung Cancer
",5.708266667,0,6,1,0.7396,0.166666667,1,2,4,0,0
55,2btrjl,1,1,Patient History,THROMBOTIC THROMBOCYTOPENIC PURPURA,6,0,6,0,6,6,1,"Family History, Present Illness History, Allergies, Social History, Past Medical History, Medication",3,38,FALSE,6,2,FALSE,5,"5, 5, 2","0, 2, 0",0,2,FALSE,Not Provided,0.555316667,0,3,0,0.1444,-0.333333333,0,0,0,0,0
56,2btrjl,1,2,Physical Exmination,THROMBOTIC THROMBOCYTOPENIC PURPURA,3,0,3,0,3,13,0.230769231,"Measure Temperature, Neurologic Exam Record, Assess Eyes",4,42,FALSE,6,2,FALSE,5,"5, 5, 2, 5","0, 2, 0, 2",0,3,TRUE,Not Provided,0.567883333,0,4,0,0.1764,-0.25,0,0,0,0,0
57,2btrjl,1,3,Testing,THROMBOTIC THROMBOCYTOPENIC PURPURA,3,0,3,0,3,10,0.3,"CRP and ESR, FBC, Clotting Test",4,48,FALSE,6,2,FALSE,6,"6, 6, 2, 5","0, 2, 0, 2",0,3,TRUE,"full neuro exam
neuro input
CT scan  /- LP",0.6131,0,4,0,0.2304,-0.25,0,0,0,0,0
58,2btrjl,2,1,Patient History,AORTIC DISSECTION,6,0,6,0,6,6,1,"Social History, Past Medical History, Medication, Allergies, Present Illness History, Family History",5,36,FALSE,4,2,FALSE,5,"2, 5, 4, 4, 5","0, 2, 1, 1, 2",2,2,FALSE,Not Provided,2.37755,0,5,1,0.4096,0.2,1,5,3,1,5
59,2btrjl,2,2,Physical Exmination,AORTIC DISSECTION,4,0,4,0,4,13,0.307692308,"Auscultate Lungs, Auscultate the Heart, Assess Respiratory Rate, Measure Temperature",6,41,FALSE,4,2,FALSE,5,"2, 5, 4, 4, 5, 5","0, 2, 1, 1, 2, 1",2,3,TRUE,Not Provided,0.481833333,0,6,1,0.3481,0.166666667,1,5,3,1,5
60,2btrjl,2,3,Testing,AORTIC DISSECTION,2,0,2,0,2,10,0.2,"Venous Blood Gas, Chest X-Ray",6,48,FALSE,4,2,FALSE,6,"2, 5, 6, 4, 5, 5","0, 2, 1, 1, 2, 1",1,4,TRUE,"resp input
increase diuretic
investigate cause",0.498466667,0,6,1,0.2704,0.166666667,1,5,3,0,0
61,2btrjl,3,1,Patient History,MILIARY TB,7,0,6,0,6,6,1,"Family History, Past Medical History, Social History, Present Illness History, Allergies, Medication",2,41,FALSE,6,2,FALSE,5,"4, 5","2, 2",2,1,FALSE,Not Provided,2.362083333,0,2,0,0.1681,-0.5,0,0,0,0,0
62,2btrjl,3,2,Physical Exmination,MILIARY TB,4,0,4,0,4,13,0.307692308,"Measure Temperature, Auscultate Lungs, Abdomen Examination, Measure Blood Pressure",2,42,FALSE,6,2,FALSE,6,"6, 5","2, 2",2,2,FALSE,Not Provided,0.5047,0,2,0,0.1764,-0.5,0,0,0,0,0
63,2btrjl,3,3,Testing,MILIARY TB,3,0,3,0,3,10,0.3,"CRP and ESR, FBC, Other Biochemistry Tests",2,43,FALSE,6,2,FALSE,6,"6, 5","2, 2",2,2,FALSE,Not Provided,0.7409,0,2,0,0.1849,-0.5,0,0,0,0,0
64,2btrjl,4,1,Patient History,GUILLAINBARRE SYNDROME,6,0,6,0,6,6,1,"Medication, Allergies, Family History, Present Illness History, Past Medical History, Social History",2,34,FALSE,5,2,FALSE,5,"5, 5","2, 2",2,2,FALSE,Not Provided,1.600733333,0,2,0,0.1156,-0.5,0,0,0,1,5
65,2btrjl,4,2,Physical Exmination,GUILLAINBARRE SYNDROME,2,0,2,0,2,13,0.153846154,"Neurologic Exam Record, Assess Extremities",2,38,FALSE,5,2,FALSE,5,"5, 5","2, 2",2,2,FALSE,Not Provided,0.36315,0,2,0,0.1444,-0.5,0,0,0,1,5
66,2btrjl,4,3,Testing,GUILLAINBARRE SYNDROME,3,0,3,0,3,10,0.3,"FBC, Urine Dipstick, Venous Blood Gas",2,42,FALSE,5,2,FALSE,5,"5, 5","2, 2",2,2,FALSE,Not Provided,0.440883333,0,2,0,0.1764,-0.5,0,0,0,1,5
67,2btrjl,5,1,Patient History,TEMPORAL ARTERITIS,7,0,6,0,6,6,1,"Allergies, Medication, Social History, Present Illness History, Family History, Past Medical History",3,28,FALSE,6,2,FALSE,6,"4, 4, 6","1, 0, 2",2,1,FALSE,Not Provided,0.763166667,0,3,0,0.0784,-0.333333333,0,0,0,0,0
68,2btrjl,5,2,Physical Exmination,TEMPORAL ARTERITIS,4,0,4,0,4,13,0.307692308,"Measure Temperature, Abdomen Examination, Measure Blood Pressure, Auscultate the Heart",3,38,FALSE,6,2,FALSE,6,"4, 4, 6","1, 0, 2",2,1,FALSE,Not Provided,0.36815,0,3,0,0.1444,-0.333333333,0,0,0,0,0
