Author(s),Title,Year,Discipline,Methodology,Measure of Confidence
"Küper, A.; Lodde, G.; Livingstone, E.; Schadendorf, D.; Krämer, N.",Mitigating cognitive bias with clinical decision support systems: an experimental study,2023,Students and physicians,6 clinical scenarios,7 point scale confidence as well as likelihood of each differential
"Lambe, K.A.; Hevey, D.; Kelly, B.D.",Guided reflection interventions show no effect on diagnostic accuracy in medical students,2018,Medical Students,Fictional patient cases,1-6 scale of confidence in original differential
"Leblanc, Vicki R.; Norman, Geoffrey R.; Brooks, Lee R.",Effect of a Diagnostic Suggestion on Diagnostic Accuracy and Identification of Clinical Features:,2001,Medical Students,Scenarios with photographs with clinical features,
"Levin, P. D.; Idrees, S.; Sprung, C. L.; Weissman, C.; Weiss, Y.; Moses, A. E.; Benenson, S.",Antimicrobial use in the ICU: Indications and accuracy - an observational trial.,2012,ICU,Observational in ICU,Certainty of presence of infection when starting patients on antimicrobials
"Li, S.; Zheng, J.; Lajoie, S. P.",The relationship between cognitive engagement and students’ performance in a simulation-based training environment: an information-processing perspective**,2020,Medical Students,Two patient cases shown,0-100% scale confidence in diagnosis
"Mackenzie, R; Dixon, A K; Keene, G S; Hollingworth, W; Lomas, D J; Villar, R N",Magnetic resonance imaging of the knee: assessment of effectiveness.,1996,Radiology,Observation of knee MRI patients,5 point visual analogue confidence scale
"Mamede, S.; Zandbergen, A.; De Carvalho-Filho, M.A.; Choi, G.; Goeijenbier, M.; Van Ginkel, J.; Zwaan, L.; Paas, F.; Schmidt, H.G.",Role of knowledge and reasoning processes as predictors of resident physicians' susceptibility to anchoring bias in diagnostic reasoning: A randomised controlled experiment,2024,Internal Medicine,6 clinical vignettes (with vs without salient distracting features),Confidence in diagnosis
"Mann, Doug",The Relationship between Diagnostic Accuracy and Confidence in Medical Students.,1993,Medical Students / Cardiac,ECG slides - Classification of cardiac dysrhythmias,"11 point scale, 0-100%"
"Marx, G.; Koens, S.; Von Dem Knesebeck, O.; Scherer, M.",Age and gender differences in diagnostic decision-making of early heart failure: Results of a mixed-methods interview-study using video vignettes,2022,General Practice,Video vignettes,0-100% certainty
"Maserejian, N.N.; Lutfey, K.E.; McKinlay, J.B.",Do physicians attend to base rates? prevalence data and statistical discrimination in the diagnosis of coronary heart disease: Physicians and coronary heart disease,2009,Primary Care,Vignettes of CHD,0-100 scale of certainty
"McKinlay, J.B.; Lin, T.; Freund, K.; Moskowitz, M.",The unexpected influence of physician attributes on clinical decisions: Results of an experiment,2002,Primary Care,2 Video vignettes,Certainty adhering to diagnosis (% likelihood for each differential)
"Meyer, Ashley ND; Payne, Velma L; Meeks, Derek W; Rao, Radha; Singh, Hardeep","Physicians’ diagnostic accuracy, confidence, and resource requests: a vignette study",2013,Internal Medicine,4 case vignettes,0-10 confidence in diagnosis (for each)
"Nederhand, M. L.; Tabbers, H. K.; Splinter, T. A. W.; Rikers, R. M. J. P.",The Effect of Performance Standards and Medical Experience on Diagnostic Calibration Accuracy**,2018,General Medicine,6 clinical cases,Confidence in diagnosis (1-10)
"Neuge bauer, M.; Ebert, M.; Vogelmann, R.",A clinical decision support system improves antibiotic therapy for upper urinary tract infection in a randomized single-blinded study.,2020,Medical Doctors (Internal Medicine),Fictive Paper Case,Confidence in Diagnosis (%)
"Oskay, A.",Evaluation of thoracic computed tomography interpretation by emergency medicine residents with regards to accuracy and confidence,2023,Emergency Medicine,30 CT scans,1-10 Confidence
"Pusic, M. V.; Chiaramonte, R.; Gladding, S.; Andrews, J. S.; Pecaric, M. R.; Boutis, K.",Accuracy of self-monitoring during learning of radiograph interpretation**,2015,Radiology / medical students,Ankle radiographs,Qualitative labels
"Redelmeier, Donald A.; Shafir, Eldar",The Fallacy of a Single Diagnosis,2023,Primary Care,Series of vignettes to diagnosis COVID,% likelhiood
"Sanger, P. C.; Simianu, V. V.; Gaskill, C. E.; Armstrong, C. A. L.; Hartzler, A. L.; Lordon, R. J.; Lober, W. B.; Evans, H. L.",Diagnosing surgical site infection using wound photography: a scenario-based study.,2017,Members of Surgical Infection Society,5 online scenarios,Confidence in diagnosis (1-10)
"Schoenherr, Jordan Richard; Waechter, Jason; Millington, Scott J",Subjective awareness of ultrasound expertise development: individual experience as a determinant of overconfidence,2018,Cardiology,Cardiac ultrasound case studies,6 point scale confidence in correct identification
"Sklar, D.P.; Hauswald, M.; Johnson, D.R.",Medical problem solving and uncertainty in the emergency department,1991,Emergency Medicine,"Real patients, filling in questionnaire",Visual analogue scale for each differential
"Soares, W. E.; Price, L. L.; Prast, B.; Tarbox, E.; Mader, T. J.; Blanchard, R.",Accuracy screening for ST elevation myocardial infarction in a task-switching simulation**,2019,Emergency Medicine,ECG interpretation,1-5 confidence
"Staal, J.; Alsma, J.; Mamede, S.; Olson, A. P. J.; Prins-van Gilst, G.; Geerlings, S. E.; Plesac, M.; Sundberg, M. A.; Frens, M. A.; Schmidt, H. G.; Van den Broek, W. W.; Zwaan, L.",The relationship between time to diagnose and diagnostic accuracy among internal medicine residents: a randomized experiment**,2021,Internal Medicine,8 clinical case,0-100% scale confidence that diagnosis was correct
"Staal, J.; Katarya, K.; Speelman, M.; Brand, R.; Alsma, J.; Sloane, J.; Van den Broek, W. W.; Zwaan, L.",Impact of performance and information feedback on medical interns' confidence–accuracy calibration**,2023,Medical Students,X-ray interpretation,0-10 confidence in diagnosis
"Staal, J.; Speelman, M.; Brand, R.; Alsma, J.; Zwaan, L.",Does a suggested diagnosis in a general practitioners’ referral question impact diagnostic reasoning: an experimental study,2022,Internal Medicine,6 cases formatted as GP referral letters,0-10 confidence in diagnosis
"Tabak, Nili; Bar-Tal, Yoram; Cohen-Mansfield, Jiska",Clinical decision making of experienced and novice nurses,1996,Nursing,Two scenarios,0-100% scale confidence in diagnosis
"Thorlacius-Ussing, G.; Bruun, M.; Gjerum, L.; Frederiksen, K. S.; Rhodius-Meester, H. F. M.; Van Der Flier, W. M.; Waldemar, G.; Hasselbalch, S. G.; Nobili, F.",Comparing a Single Clinician Versus a Multidisciplinary Consensus Conference Approach for Dementia Diagnostics**,2021,Neurology,Real patient evaluations,0-100 Visual analogue scale
"Tio, R. A.; Filho, M. A. C.; de Menezes Mota, M. F.; Santanchè, A.; Mamede, S.",The Effect of Information Presentation Order on Residents’ Diagnostic Accuracy of Online Simulated Patients With Chest Pain**,2022,Cardiology,12 clinical cases presented in 2 diagnostic rounds (history and EKG),0-100 confidence
"Trueblood, Jennifer S.; Eichbaum, Quentin; Seegmiller, Adam C.; Stratton, Charles; O'Daniels, Payton; Holmes, William R.",Disentangling prevalence induced biases in medical image decision-making,2021,Medical Students / Imaging,Cell scans (cancer identification),
"van Hout, H.P.J.; Vernooij-Dassen, M.J.; Stalman, W.A.B.",Diagnosing dementia with confidence by GPs,2007,General Practice,Observation of dementia patients,4 point likert scale
"van Sassen, C.; Mamede, S.; Bos, M.; van den Broek, W.; Bindels, P.; Zwaan, L.",Do malpractice claim clinical case vignettes enhance diagnostic accuracy and acceptance in clinical reasoning education during GP training?**,2023,General Practice,Cases with and without malpractice claim information,0-100 confidence
"Wood, Greg; Batt, Jeremy; Appelboam, Andrew; Harris, Adrian; Wilson, Mark R.","Exploring the Impact of Expertise, Clinical History, and Visual Search on Electrocardiogram Interpretation**",2014,ED,ECG traces and eye tracking,1-10 confidence in diagnosis
"Yang, H.; Thompson, C.; Bland, M.",Effect of improving the realism of simulated clinical judgement tasks on nurses' overconfidence and underconfidence: Evidence from a comparative confidence calibration analysis**,2012,Nursing,Both paper and high fidelity sim scenarios,0-100 confidence
"Yang, Huiqin; Thompson, Carl",Nurses’ risk assessment judgements: a confidence calibration study: Nurses’ risk assessment judgements,2010,Nursing,Risk assessment vignettes,0-100 confidence
"Yang, Huiqin; Thompson, Carl; Bland, Martin","The effect of clinical experience, judgment task difficulty and time pressure on nurses’ confidence calibration in a high fidelity clinical simulation",2012,Nursing,High Fidelity Sim,0-100 confidence
